LSL,Harp
1211119.3995295,4784.321504
1211120.2574519,4785.179488
1211120.4603892,4785.382496
1211120.4923856,4785.414496
1211121.2723012,4786.194496
1211121.7185119,4786.641504
1211121.8423881,4786.76448
1211122.4454911,4787.36848
1211122.8513693,4787.773504
1211123.8503571,4788.77248
1211124.1334281,4789.055488
1211124.3763332,4789.298496
1211124.4915708,4789.414496
1211125.3283347,4790.250496
1211125.5612405,4790.483488
1211126.389313,4791.31248
1211126.4143604,4791.33648
1211126.8244406,4791.747488
1211127.0862554,4792.00848
1211127.3214398,4792.24448
1211128.1503006,4793.07248
1211128.9692328,4793.891488
1211129.0702675,4793.99248
1211129.555277,4794.477504
1211129.5682627,4794.491488
1211130.4912677,4795.413504
1211131.4782034,4796.40048
1211132.3982037,4797.32048
1211133.2502648,4798.173504
1211134.1881964,4799.110496
1211134.21409,4799.13648
1211134.2371373,4799.15648
1211135.0173588,4799.94048
1211135.1330773,4800.055488
1211136.1051831,4801.027488
1211137.0071951,4801.930496
1211137.6021019,4802.52448
1211138.0241274,4802.946496
1211138.8461428,4803.76848
1211139.1021269,4804.025504
1211139.6171487,4804.539488
1211140.2240805,4805.147488
1211140.8819717,4805.80448
1211141.4339968,4806.35648
1211142.2889803,4807.21248
1211142.3870211,4807.309504
1211143.0400993,4807.962496
1211143.6169866,4808.539488
1211143.7421173,4808.66448
1211144.0901127,4809.013504
1211144.2930093,4809.21648
1211145.041004,4809.963488
1211145.8669505,4810.789504
1211146.525018,4811.447488
1211147.3078858,4812.230496
1211148.1348741,4813.057504
1211148.8838643,4813.806496
1211149.6020109,4814.52448
1211149.6238378,4814.546496
1211150.4838193,4815.406496
1211150.9498691,4815.87248
1211151.1629485,4816.085504
1211151.932852,4816.855488
1211152.3978427,4817.32048
1211153.3849986,4818.30848
1211153.6477775,4818.570496
1211154.1008785,4819.023488
1211154.1168365,4819.039488
1211154.9907732,4819.914496
1211155.3357585,4820.258496
1211155.5967452,4820.519488
1211156.1957728,4821.118496
1211156.7877435,4821.711488
1211157.7867711,4822.710496
1211158.5228493,4823.446496
1211158.7567523,4823.679488
1211158.9328831,4823.855488
1211159.4977705,4824.42048
1211160.1327364,4825.055488
1211161.0706453,4825.993504
1211161.3486676,4826.27248
1211161.7557583,4826.679488
1211162.5747483,4827.498496
1211163.0837657,4828.007488
1211163.8346256,4828.758496
1211164.1186762,4829.042496
1211164.304602,4829.227488
1211164.4395227,4829.362496
1211164.7844921,4829.707488
1211164.9316691,4829.855488
1211165.0875471,4830.010496
1211165.9595676,4830.882496
1211166.3834993,4831.306496
1211167.3356268,4832.258496
1211168.133547,4833.05648
1211168.4306185,4833.353504
1211169.2735055,4834.19648
1211169.4594711,4834.383488
1211170.037574,4834.96048
1211170.6325929,4835.555488
1211171.2774797,4836.20048
1211171.9275343,4836.851488
1211172.6514311,4837.574496
1211173.4443755,4838.367488
1211173.5503616,4838.473504
1211174.1473526,4839.070496
1211174.3033512,4839.226496
1211175.1324196,4840.055488
1211176.0553083,4840.978496
1211176.6173026,4841.54048
1211177.2812856,4842.20448
1211177.4803676,4842.403488
1211177.5693602,4842.49248
1211177.6683705,4842.591488
1211178.2593015,4843.182496
1211178.320224,4843.243488
1211178.7262635,4843.649504
1211178.9943088,4843.918496
1211179.7102624,4844.633504
1211180.4142841,4845.337504
1211180.4922239,4845.415488
1211180.8361572,4845.759488
1211181.5061557,4846.429504
1211182.2371419,4847.16048
1211182.4142874,4847.337504
1211182.8081186,4847.731488
1211183.0071819,4847.930496
1211183.6482393,4848.57248
1211183.8511808,4848.774496
1211184.3052584,4849.22848
1211184.6952737,4849.618496
1211185.6872478,4850.610496
1211186.6812316,4851.60448
1211186.7260984,4851.649504
1211187.0320677,4851.955488
1211187.6521328,4852.575488
1211188.3511828,4853.274496
1211188.387142,4853.310496
1211188.8040302,4853.727488
1211188.9582334,4853.882496
1211189.0921422,4854.015488
1211189.4490984,4854.37248
1211189.6482189,4854.57248
1211190.4451654,4855.36848
1211190.9530894,4855.87648
1211191.9160322,4856.839488
1211192.7031357,4857.626496
1211193.0309713,4857.954496
1211193.3980769,4858.321504
1211194.1540311,4859.077504
1211195.0550719,4859.978496
1211195.6509662,4860.574496
1211196.1319878,4861.055488
1211197.0079781,4861.931488
1211197.5260469,4862.449504
1211197.8369719,4862.76048
1211198.8410228,4863.76448
1211199.8398748,4864.763488
1211200.4469054,4865.370496
1211201.1658384,4866.089504
1211201.582993,4866.507488
1211202.1149171,4867.038496
1211202.742941,4867.666496
1211203.2290032,4868.153504
1211203.4010968,4868.325504
1211204.0749188,4868.998496
1211204.2758569,4869.20048
1211204.3200014,4869.24448
1211205.125788,4870.049504
1211206.1008374,4871.02448
1211206.4680113,4871.39248
1211206.8418934,4871.765504
1211207.6958435,4872.619488
1211208.270984,4873.195488
1211208.8668014,4873.791488
1211209.6018246,4874.525504
1211209.7447895,4874.66848
1211210.619706,4875.543488
1211210.8507037,4875.774496
1211211.0776369,4876.001504
1211211.6868017,4876.611488
1211212.5548042,4877.479488
1211212.8338357,4877.758496
1211213.3047972,4878.22848
1211213.855631,4878.779488
1211214.6527729,4879.57648
1211215.1698661,4880.094496
1211215.302721,4880.226496
1211215.8516638,4880.775488
1211216.85451,4881.778496
1211217.4905166,4882.414496
1211218.211596,4883.135488
1211218.6315659,4883.555488
1211219.3355384,4884.259488
1211220.0854695,4885.009504
1211220.705501,4885.629504
1211221.435541,4886.359488
1211222.150394,4887.074496
1211222.7735812,4887.697504
1211223.609493,4888.533504
1211224.372554,4889.29648
1211225.1034894,4890.02848
1211225.6495223,4890.574496
1211226.0544639,4890.979488
1211226.4454577,4891.369504
1211226.9734843,4891.898496
1211227.7253826,4892.649504
1211228.6425534,4893.567488
1211228.9223838,4893.846496
1211229.7123199,4894.63648
1211229.8834232,4894.807488
1211230.0263297,4894.950496
1211230.8034155,4895.727488
1211231.1953638,4896.119488
1211231.3092781,4896.233504
1211231.8574467,4896.781504
1211232.1014317,4897.025504
1211232.2732688,4897.197504
1211233.2353027,4898.159488
1211233.6154706,4898.54048
1211233.7892973,4898.713504
1211233.8683091,4898.79248
1211234.3854173,4899.310496
1211235.195373,4900.119488
1211235.5541926,4900.478496
1211236.2112899,4901.135488
1211237.165228,4902.089504
1211237.3211828,4902.245504
1211238.1630988,4903.087488
1211239.1481906,4904.07248
1211240.1492557,4905.073504
1211240.5691949,4905.493504
1211240.8191085,4905.743488
1211241.2301031,4906.154496
1211241.6841116,4906.60848
1211242.5692247,4907.494496
1211242.8971944,4907.821504
1211243.7970399,4908.721504
1211243.8650797,4908.790496
1211243.8860798,4908.810496
1211243.9480545,4908.87248
1211244.5551305,4909.479488
1211245.4189722,4910.343488
1211246.1681235,4911.09248
1211246.9950513,4911.919488
1211247.4910227,4912.41648
1211248.4290388,4913.354496
1211248.4709104,4913.395488
1211249.0759488,4914.00048
1211249.2732253,4914.198496
1211249.658062,4914.583488
1211250.2179526,4915.142496
1211250.9860329,4915.910496
1211251.2349742,4916.159488
1211251.8971146,4916.822496
1211252.6019135,4917.526496
1211252.8349349,4917.76048
1211253.5699358,4918.495488
1211253.6319014,4918.55648
1211254.3818728,4919.306496
1211254.9589395,4919.88448
1211255.5628731,4920.48848
1211255.6389007,4920.56448
1211255.947918,4920.87248
