Item1.Timestamp,Item1.Value,Item2.Timestamp,Item2.Value
959295.4596026,3583.229,1107551.7755627,3580.215
959296.2455499,3584.015,1107554.7826597,3583.229
959296.6835825,3584.454,1107555.5685737,3584.015
959296.9476331,3584.718,1107556.0065438,3584.454
959297.1365685,3584.906,1107556.2704908,3584.718
959297.4825548,3585.252,1107556.4594724,3584.906
959297.7866165,3585.556,1107556.8053983,3585.252
959298.0476577,3585.817,1107557.1094149,3585.556
959298.438548,3586.208,1107557.3705487,3585.817
959298.6395274,3586.409,1107557.7621316,3586.208
959299.0236835,3586.793,1107557.9625462,3586.409
959299.3408625,3587.111,1107558.3464908,3586.793
959299.793649,3587.563,1107558.6634623,3587.111
959299.995572,3587.766,1107559.1165025,3587.563
959300.3535419,3588.124,1107559.3185381,3587.766
959300.7056354,3588.476,1107559.6764599,3588.124
959300.9454788,3588.716,1107560.0284656,3588.476
959301.1154743,3588.885,1107560.2692016,3588.716
959301.3126292,3589.083,1107560.4385237,3588.885
959330.6580321,3618.428,1107560.6353651,3589.083
959331.383063,3619.154,1107589.9814887,3618.428
959331.6789885,3619.449,1107590.7068574,3619.154
959332.2309313,3620.001,1107591.0023493,3619.449
959332.5769868,3620.347,1107591.5541159,3620.001
959332.9260463,3620.697,1107591.900835,3620.347
959333.2492293,3621.021,1107592.2492226,3620.697
959333.5619817,3621.333,1107592.5731841,3621.021
959333.8483169,3621.618,1107592.885166,3621.333
959334.1539521,3621.925,1107593.1722248,3621.618
959334.433906,3622.205,1107593.4771262,3621.925
959334.7488904,3622.52,1107593.7571472,3622.205
959335.0309104,3622.802,1107594.0728951,3622.52
959335.2808726,3623.052,1107594.3545061,3622.802
959335.5399847,3623.311,1107594.6041644,3623.052
959335.7877817,3623.559,1107594.8635122,3623.311
959336.0468966,3623.817,1107595.1111813,3623.559
959336.3189844,3624.09,1107595.3701371,3623.817
959336.5660235,3624.336,1107595.6421757,3624.09
959336.8217994,3624.593,1107595.8897936,3624.336
959337.0808226,3624.852,1107596.1451646,3624.593
959337.337902,3625.108,1107596.4041657,3624.852
959337.5778232,3625.348,1107596.6610984,3625.108
959337.816844,3625.587,1107596.9011212,3625.349
959338.0408326,3625.812,1107597.1402986,3625.587
959338.1419163,3625.913,1107597.364128,3625.812
959338.2638572,3626.034,1107597.4651772,3625.913
959338.4518552,3626.222,1107597.5873761,3626.034
959338.655896,3626.427,1107597.7750996,3626.222
959338.8497844,3626.62,1107597.9789944,3626.427
959339.0059304,3626.776,1107598.1731502,3626.62
959339.1418445,3626.913,1107598.3291807,3626.776
959339.2988544,3627.07,1107598.4649342,3626.912
959339.4798001,3627.25,1107598.6222385,3627.07
959339.6608461,3627.431,1107598.8030432,3627.25
959339.8547535,3627.625,1107598.9840962,3627.431
959340.0147366,3627.785,1107599.1783235,3627.625
959340.2648572,3628.035,1107599.3381422,3627.785
959340.4647837,3628.236,1107599.5881978,3628.035
959340.6188261,3628.389,1107599.7878971,3628.235
959340.7787237,3628.55,1107599.9427262,3628.389
959340.9497768,3628.72,1107600.1022706,3628.55
959341.1368323,3628.907,1107600.2734724,3628.72
959341.3056922,3629.076,1107600.4600333,3628.907
959341.4908196,3629.261,1107600.6291077,3629.076
959341.676839,3629.448,1107600.8139359,3629.261
959341.83274,3629.604,1107601.0001621,3629.448
959342.1838376,3629.955,1107601.1560692,3629.604
959342.3697454,3630.14,1107601.506877,3629.954
959342.5933379,3630.364,1107601.6931557,3630.14
959342.8227204,3630.594,1107601.9168973,3630.364
959343.0348207,3630.805,1107602.146503,3630.594
959343.2408126,3631.011,1107602.3581759,3630.805
959343.4127451,3631.184,1107602.564168,3631.011
959343.5827474,3631.354,1107602.7360535,3631.184
959343.7477433,3631.519,1107602.9060982,3631.354
959343.9606726,3631.731,1107603.0710735,3631.519
959344.1266981,3631.897,1107603.2839131,3631.731
959344.3187696,3632.09,1107603.4500301,3631.897
959344.4667926,3632.238,1107603.6418469,3632.09
959344.6596893,3632.43,1107603.7901199,3632.238
959344.8276573,3632.598,1107603.9836965,3632.43
959345.027747,3632.799,1107604.1510649,3632.598
959345.2146429,3632.986,1107604.3511085,3632.799
959345.4288384,3633.2,1107604.5380853,3632.986
959345.7177607,3633.489,1107604.7530778,3633.2
959345.9227544,3633.694,1107605.0412692,3633.489
959346.1288321,3633.9,1107605.2467786,3633.694
959346.4406322,3634.211,1107605.4531517,3633.9
959346.6676124,3634.438,1107605.7640592,3634.211
959347.0146683,3634.785,1107605.9916096,3634.438
959347.2336843,3635.004,1107606.3380325,3634.785
959347.4347542,3635.206,1107606.5570126,3635.004
959347.60374,3635.375,1107606.7580679,3635.206
959347.8217066,3635.593,1107606.9270214,3635.375
959348.0897039,3635.861,1107607.1453516,3635.593
959348.3756435,3636.146,1107607.4129498,3635.861
959348.5935816,3636.365,1107607.6990595,3636.146
959348.800639,3636.572,1107607.9177395,3636.365
959349.0096285,3636.781,1107608.123962,3636.572
959349.2195506,3636.99,1107608.3330346,3636.781
959349.4006036,3637.171,1107608.5429555,3636.99
959349.5875787,3637.358,1107608.7242198,3637.171
959349.7505954,3637.521,1107608.9112658,3637.358
959349.9246714,3637.696,1107609.0740651,3637.521
959350.1236531,3637.895,1107609.2489214,3637.696
959350.4766022,3638.248,1107609.446989,3637.895
959350.7076268,3638.479,1107609.799989,3638.248
