Seconds,Value
25944.624992,True
25947.534976,False
25948.424992,True
25950.594976,False
25951.434976,True
25953.344992,False
25954.584992,True
25955.764992,False
25957.534976,True
25960.274976,False
25962.974976,True
25963.774976,False
25965.254976,True
25966.934976,False
25969.864992,True
25970.574976,False
25972.244992,True
25973.554976,False
25976.304992,True
25978.994976,False
25979.794976,True
25982.154976,False
25984.704992,True
25985.724992,False
25988.584992,True
25991.094976,False
25993.864992,True
25996.574976,False
25998.984992,True
26000.624992,False
26002.384992,True
26003.064992,False
26006.064992,True
26008.374976,False
26011.054976,True
26013.044992,False
26013.804992,True
26016.624992,False
26019.284992,True
26021.734976,False
26022.934976,True
26023.804992,False
26025.994976,True
26026.804992,False
26028.304992,True
26029.104992,False
26030.574976,True
26033.444992,False
26034.764992,True
26036.644992,False
26039.654976,True
26041.074976,False
26042.774976,True
26045.254976,False
26046.864992,True
26048.204992,False
26049.194976,True
26051.634976,False
26054.584992,True
