Time,Event
2485.912,ON
2487.464,OFF
2488.285984,ON
2488.852992,OFF
2489.452992,ON
2490.408992,OFF
2492.141984,ON
2493.686976,OFF
2494.830976,ON
2495.676992,OFF
2497.252992,ON
2498.453984,OFF
2498.985984,ON
2499.52,OFF
2501.130976,ON
2501.82,OFF
2502.462976,ON
2503.676992,OFF
2505.665984,ON
2507.232,OFF
2508.609984,ON
2509.820992,OFF
2511.220992,ON
2512.632,OFF
2514.442976,ON
2516.254976,OFF
2517.345984,ON
2518.957984,OFF
2520.390976,ON
2522.290976,OFF
2523.368,ON
2524.757984,OFF
2526.645984,ON
2527.48,OFF
2528.668,ON
2529.668992,OFF
2531.045984,ON
2532.101984,OFF
2533.857984,ON
2534.984,OFF
2535.578976,ON
2537.312992,OFF
2538.078976,ON
2539.212992,OFF
2539.800992,ON
2540.345984,OFF
2541.757984,ON
2542.968,OFF
2543.522976,ON
2544.068,OFF
2545.468,ON
2546.213984,OFF
2546.969984,ON
2548.345984,OFF
2550.068,ON
2551.38,OFF
2552.534976,ON
2553.256992,OFF
2554.356992,ON
2555.257984,OFF
2556.956992,ON
2558.301984,OFF
2559.678976,ON
2561.044,OFF
2562.334976,ON
2563.136,OFF
2564.133984,ON
2565.233984,OFF
2566.590976,ON
2567.566976,OFF
2568.134976,ON
2569.156992,OFF
2570.478976,ON
2571.368,OFF
2572.533984,ON
2573.700992,OFF
2574.377984,ON
2574.956992,OFF
2575.932992,ON
2577.334976,OFF
2579.234976,ON
2580.612992,OFF
2581.868,ON
2582.934976,OFF
2584.712,ON
2586.188992,OFF
2587.656992,ON
2589.357984,OFF
2591.090976,ON
2591.792,OFF
2593.202976,ON
2594.536992,OFF
2595.336,ON
2596.046976,OFF
2596.912992,ON
2598.236,OFF
2599.134976,ON
2600.224,OFF
2601.18,ON
2602.046976,OFF
2603.557984,ON
2604.534976,OFF
2605.857984,ON
2607.846976,OFF
2609.546976,ON
2610.669984,OFF
2611.824992,ON
2613.402976,OFF
2614.601984,ON
2616.424992,OFF
2617.324992,ON
2617.902976,OFF
2619.090976,ON
2620.036,OFF
2620.692,ON
2621.957984,OFF
2623.046976,ON
2624.892,OFF
2625.624,ON
2627.224992,OFF
2628.736,ON
2629.580992,OFF
2630.201984,ON
2630.834976,OFF
2631.357984,ON
2632.813984,OFF
2633.346976,ON
2633.946976,OFF
2635.224992,ON
2635.890976,OFF
2637.114976,ON
2637.913984,OFF
2638.78,ON
2639.424,OFF
2640.224992,ON
2640.869984,OFF
2642.768992,ON
2643.696,OFF
2645.236,ON
2645.969984,OFF
2647.269984,ON
2648.458976,OFF
2650.080992,ON
2651.546976,OFF
2652.548,ON
2653.380992,OFF
2654.225984,ON
2654.914976,OFF
2656.868992,ON
2657.380992,OFF
2658.069984,ON
